word	page	raw	initialCorrected
аероб	21	аероб,	False
аеробик	21	аеробик	False
аеродром	21	аеродром	False
аероклуб	21	аероклуб	False
аеролог	21	аеролог	False
аеронаут	21	аеронаут	False
аеропорт	21	аеропорт	False
аерорели	22	аерорели,	False
аеросол	22	аеросол,	False
аеростат	22	аеростат	False
аждаја	22	аждаја	False
аждајица	22	аждајица	False
аждајски	22	аждајски,	False
ажио	22	ажио,	False
ажур	22	ажур,	False
ажуран	22	ажуран,	False
ажурно	22	ажурно	False
ажурност	22	ажурност,	False
аз	22	аз	False
азбест	22	азбест	False
азбестни	22	азбестни,	False
азбука	22	азбука	False
азбучни	22	азбучни	False
азбучно	22	азбучно	False
азил	22	азил,	False
азилант	22	азилант	False
азимут	22	азимут	False
азимутни	22	азимутни,	False
азиј	22	азиј	False
азија	22	Азија	False
азијат	22	Азијат	False
азијац	22	Азијац,	False
азијка	22	.АзИјка	False
азијски	22	азијски,	False
азоик	22	азоик	False
азот	22	азот,	False
азотара	22	азотара	False
азотни	22	азотни,	False
азотов	22	азотов	False
азофски	39	озофскй,	True
азојски	22	азојски,	False
азур	22	азур,	False
азуран	22	азуран	False
азурно	22	азурно	False
аи	22	аи(х)	False
аикидо	22	аикИдо	False
аио	33	био	True
аих	22	аи(х)	False
ак	520	ак	False
академац	23	академац,	False
академик	23	академик	False
акати	23	акати	False
акација	23	акација	False
аквадукт	23	аквадукт	False
акваплан	23	акваплан	False
акварел	23	акварел	False
акварист	23	акварист(а),	False
акведукт	23	акведукт	False
акна	23	акна	False
акнути	23	акнути,	False
ако	23	ако	False
акобогда	23	акобогда	False
аков	23	аков,	False
аковчић	23	аковчић	False
аконто	23	аконто	False
акорд	24	акорд	False
акордант	24	акордант,	False
акордеон	24	акордеон,	False
акордни	24	акордни,	False
акреп	24	акреп	False
акрибија	24	акрибија	False
акробат	24	акробат(а),	False
акробата	24	акробат(а),	False
акроним	24	акроним	False
акропола	24	акропола	False
акростих	24	акростих	False
аксиом	24	аксиом,	False
акт	24	акт	False
актер	24	актер,	False
актерка	24	актерка	False
актерски	24	актерски,	False
актив	24	актив	False
актива	24	актива	False
активан	24	активан,	False
активац	24	активац,	False
активист	25	активист(а),	False
активно	25	актйвно	False
актик	44	рктик	True
актовка	25	актовка	False
акту	25	акту	False
актуално	25	актуално	False
актуелан	25	актуёлан,	False
актуелно	25	актуёлно	False
акузатив	25	акузатйв	False
акуратан	25	акуратан	False
акуратно	25	акуратно	False
акустика	25	акустика	False
акут	25	акут,	False
акутан	25	акутан	False
акутно	25	акутно	False
акутност	25	акутност	False
акутски	25	акутскй,	False
акушер	25	акушёр,	False
акушерка	25	акушёрка	False
акцепт	26	акцепт	False
акцесија	26	акцесија	False
акцидент	26	акцИдент	False
акциза	26	акциза	False
акционар	26	акционар,	False
акциони	26	акциони,	False
акција	26	акција	False
акцијаш	26	акцијаm,	False
акцијски	26	акцйјски,	False
акшам	26	акшам	False
ала	26	ала	False
алав	26	алав,	False
алаво	26	алаво	False
алавост	26	алавост,	False
алакати	26	алакати,	False
алакнути	26	алакнути,	False
алал	26	алал,	False
алалити	26	алалити,	False
аламуња	26	аламуња	False
алан	25	алан,	False
алапача	26	алапача	False
аларм	26	аларм	False
алармни	26	алармнй,	False
алас	26	алас,	False
аласки	26	аласкй,	False
алат	27	алат	False
алатаст	27	алатаст,	False
алатни	27	алатни	False
алатница	27	алатница	False
алатуша	27	алатуmа	False
алатљика	27	алатљика	False
алаук	27	алаук	False
алаукати	27	алаукати,	False
алах	27	Алах,	False
алајбег	26	алајбег	False
албанац	27	Албанац,	False
албанка	27	Албанка	False
албански	27	албански,	False
албатрос	27	албатрос	False
албин	27	албин,	False
албински	27	албински,	False
албум	27	албум	False
албумин	27	албумин,	False
албумски	27	албумски,	False
алва	27	алва	False
алваџија	27	алваџија	False
алвеола	27	алвеола	False
алга	27	алга	False
алгебра	27	алгебра	False
алгол	27	Алгол,	False
алдехид	27	алдехид,	False
алев	27	алев	False
алегро	27	алегро	False
алелуја	28	алелуја	False
алем	28	алем	False
алемов	28	алемов,	False
алерген	28	алергён,	False
алергија	28	алергија	False
алеја	27	алеја	False
али	28	али	False
алиби	28	алиби	False
алигатор	28	алигатор	False
ализам	1406	ализам,	False
алилуја	28	алилуја	False
алинеја	28	алинеја	False
алијанса	28	алијанса	False
алијас	28	алијас	False
алка	28	алка	False
алкалан	28	алкалан,	False
алкалија	28	алкалија	False
алкица	28	алкица	False
алкоран	28	Алкоран,	False
алкос	28	алкос	False
алкотест	28	алкотест	False
алкохол	28	алкохол	False
алкуран	28	Алкуран,	False
алмандин	29	алмандин,	False
ало	29	ало	False
аловит	29	аловит,	False
аловито	29	аловито	False
алогичан	29	алогичан,	False
алогично	29	алогично	False
алохтон	29	алохтон,	False
алоја	29	алоја	False
алпинац	29	алпинац,	False
алпинист	29	алпинист(а),	False
алпинка	29	алпинка	False
алпински	29	алпински,	False
алпски	29	алпски,	False
алт	29	алт	False
алтист	29	алтист(а),	False
алтиста	29	алтист(а),	False
алтовски	29	алтовски,	False
алтруист	29	алтруист(а),	False
алувиј	29	(алУвйј,	False
алувијум	29	алувијум	False
алузиван	29	алузиван,	False
алузија	29	алузија	False
алфа	30	алфа	False
алфабет	30	алфабет,	False
алфреско	30	алфреско	False
алхемија	30	алхемија	False
алчица	30	алчица	False
ам	20	ам	False
ама	30	ама	False
амазонка	30	амазонка1	False
амал	30	амал,	False
амалгам	30	амалгам,	False
амалин	30	амалин	False
амам	30	амам	False
амамски	30	амамскй	False
аман	30	аман,	False
амандман	30	амандман,	False
аманет	30	аманет	False
амарела	30	амарела	False
аматер	30	аматер,	False
аматерка	30	аматерка	False
амајлија	30	амајлија	False
амбар	30	амбар	False
амбарић	30	амбарић	False
амбарски	30	амбарскй,	False
амбарчић	30	амбарчић	False
амбасада	30	амбасада	False
амбис	31	амбис	False
амбиција	31	амбиција	False
амбијент	31	амбијент,	False
амблем	31	амблём,	False
амбра	31	амбра	False
амвон	31	амвон,	False
амеба	31	амеба	False
амебни	31	амёбни,	False
амен	31	амён	False
аменција	31	аменција	False
амер	31	.Амер	False
америка	31	Америка	False
американ	31	американ,	False
амерички	31	амерички,	False
аметист	31	аметист	False
амид	31	амид,	False
амилаза	31	амилаза	False
амин	31	амин	False
аминати	32	аминати,	False
аминаш	32	аминаm,	False
аминашки	32	аминаmки,	False
амнезија	32	амнёзија	False
амнион	32	амнион	False
амо	32	амо	False
амов	20	амов,	False
амонијак	32	амонијак	False
амор	32	Амор	False
аморал	32	аморал	False
аморално	32	аморално	False
аморфан	32	аморфан,	False
аморфно	32	аморфно	False
ампер	32	ампёр,	False
ампеража	32	ампеража	False
ампир	32	ампир,	False
ампирски	32	ампирски,	False
ампула	32	ампула	False
амулет	32	амулет	False
амфибија	32	амфибија	False
амфибрах	32	амфибрах	False
амфора	33	амфора	False
ан	36	ан	False
ана	33	ана	False
анаграм	33	анаграм	False
анаконда	33	анаконда	False
анали	33	анали	False
анализа	33	анализа	False
аналист	33	аналист(а),	False
аналиста	33	аналист(а),	False
анални	33	аналнй,	False
анално	33	анално	False
аналоган	33	аналоган,	False
аналогно	33	аналогно	False
аналошки	33	аналоmкй,	False
анамнсза	33	анамнсза	False
ананас	33	ананас	False
ананасов	33	ананасов,	False
анархист	33	анархист(а),	False
анархија	33	анархија	False
анасон	34	анасон,	False
анатема	34	анатема	False
анатом	34	анатом	False
анафора	34	анафора	False
ангажман	34	ангажман,	False
ангелика	34	ангелика	False
ангин	34	ангйн,	False
ангина	34	ангина	False
англизам	34	англизам,	False
англист	34	англист(а),	False
англиста	34	англист(а),	False
англоман	34	англоман,	False
англофил	34	англофил,	False
англофоб	34	англофоб,	False
ангора	35	ангора	False
ангорка	35	ангорка	False
ангорски	35	ангорскй,	False
ангро	35	ангро	False
ангстрем	35	ангстрем	False
анданте	35	анданте	False
андрагог	35	андрагог	False
андрак	35	андрак	False
андрогин	35	андрогйн,	False
андролог	35	андролог	False
анегдота	35	анегдота	False
анекс	35	анекс	False
анексија	35	анексија	False
анемичан	35	анемичан,	False
анемичар	35	анемичар	False
анемично	35	анемично	False
анемија	35	анемија	False
анилин	35	анилйн,	False
анималан	36	анималан,	False
анимално	36	анимално	False
аниматни	36	аниматни,	False
анимато	36	анимато	False
аниматор	36	аниматор	False
анимизам	36	анимизам,	False
анимист	36	анимист(а),	False
анимиста	36	анимист(а),	False
анимозан	36	анимозан,	False
анис	36	анис	False
анкарски	62	АНКАРСКИ	False
анкер	36	анкер	False
анкета	36	анкета	False
анкетар	36	анкетар,	False
анкетни	36	анкетни,	False
анласер	36	анласер	False
анода	36	анода	False
анодни	36	анодни,	False
анониман	36	анониман	False
анонимац	36	анонимац,	False
анонимно	36	анонимно	False
анонимус	36	анонимус	False
анонса	36	анонса	False
ансамбл	36	ансамбл	False
антанта	36	антанта	False
анте	36	анте	False
антенски	36	антёнски,	False
анти	38	анти	False
антика	37	антика	False
антиква	37	антиква	False
антиквар	37	антиквар,	False
антикни	37	антикни,	False
антилоп	37	антилоп	False
антилопа	37	антилопа	False
антимбн	37	антимбн,	False
антипапа	38	антипапа	False
антипод	38	антипод,	False
антисвет	38	антисвет	False
антитеза	38	антитеза	False
антитело	38	антитело	False
антифриз	38	антифриз	False
антички	39	антички	False
антоним	39	антоним	False
антракс	39	антракс	False
антрацнт	39	антрацнт,	False
антре	39	антре,	False
ануитет	39	ануитет,	False
анус	39	анус	False
анфас	39	анфас	False
анђелак	35	анђелак,	False
анђелски	35	анђелскй	False
анђелчић	35	анђелчић,	False
анђео	35	анђео,	False
анђеоски	35	анђеоскй	False
анђеоче	35	анђеоче,	False
анјон	36	анјон,	False
ао	39	ао	False
аон	43	гон,	True
аорист	39	аорист	False
аорта	39	аорта	False
аортнн	39	аортнн,	False
аох	39	аох	False
ап	39	ап	False
апанажа	39	апанажа	False
апарат	40	апарат,	False
апартан	40	апартан,	False
апартман	40	апартман,	False
апартно	40	апартно	False
апатичан	40	апатичан,	False
апатично	40	апатично	False
апатија	40	апатија	False
апаш	40	апаm,	False
апашки	40	апаmки,	False
апел	40	апел	False
апелатив	40	апелатив	False
апендикс	40	апендикс	False
аперитив	40	аперитив,	False
аперкат	40	аперкат	False
апетит	40	апетит,	False
апетитан	40	апетитан,	False
апешант	40	аПЕmант	False
апешат	40	аПЕmат,	False
аплазија	40	аплазија	False
аплауз	40	аплауз	False
апоен	40	апоен,	False
апозитив	40	апозитив	False
апокопа	41	апокопа	False
апокриф	41	апокриф	False
апологет	41	апологёт,	False
аполон	41	Аполон,	False
апостат	41	апостат(а),	False
апостата	41	апостат(а),	False
апостол	41	апостол	False
апостроф	41	апостроф	False
апотека	41	апотека	False
апотекар	41	апотекар,	False
апотеоза	41	апотеоза	False
апретер	41	апретёр,	False
апретура	41	апретура	False
април	41	април,	False
априлили	41	априлили	False
априлски	41	априлски,	False
априоран	41	априоран,	False
априори	41	априори	False
априорно	41	априорно	False
апропо	42	апропо	False
апсидни	42	апсидни,	False
апсолут	42	апсолут,	False
апсорбат	42	апсорбат,	False
апсурд	42	апсурд	False
апсурдан	42	апсурдан,	False
апсурдно	42	апсурдно	False
апсцес	42	апсцес	False
апсциса	43	апсциса	False
апсцисни	43	апсциснй,	False
апта	43	апта	False
аптов	43	аптов,	False
аптовача	43	аптовача	False
аптовина	43	аптовина	False
апћиха	43	апћиха	False
ар	43	ар	False
ара	43	ара	False
арабизам	43	арабизам,	False
арабист	43	арабист(а),	False
арабиста	43	арабист(а),	False
арабица	43	арабица	False
аранжер	43	аранжер,	False
аранжман	43	аранжман,	False
аранђел	43	аранђел	False
арапин	43	Арапин	False
арапски	43	арапски	False
арапче	43	Арапче,	False
аратос	43	аратос	False
арбанас	43	Арбанас	False
арбитар	43	арбитар,	False
арбун	43	арбун,	False
аргентит	43	аргентйт,	False
арго	43	арго,	False
аргонаут	43	аргонаут	False
ареа	44	ареа	False
ареал	44	ареал,	False
аревоз	53	превоз	True
арена	44	арена	False
аренда	44	арёнда	False
арендар	44	арендар,	False
аренски	44	арёнскй:,	False
арза	44	арза	False
аривизам	44	аривизам,	False
аривист	44	аривист(а),	False
аривиста	44	аривист(а),	False
аритмија	44	аритмија	False
ариш	44	ариш	False
аришев	44	ариmев,	False
арија	44	арија	False
аријевац	44	Аријевац,	False
аријица	44	аријица	False
арка	44	арка	False
аркада	44	аркада	False
аркебуза	44	аркебуза	False
арктички	44	арктичкй:,	False
арлекин	44	арлекин(-)	False
армада	44	армада	False
арматура	45	арматура	False
армирати	45	армирати,	False
армирач	45	армирач,	False
армија	45	армија	False
армијски	45	армйјскй,	False
арнаутин	45	Арнаутин	False
арнаутка	45	Арнаутка	False
арома	45	арома	False
аромски	45	аромскй,	False
аромун	45	Аромун,	False
аромунка	45	Аромунка	False
арпаџик	45	арпаџик	False
арпеђо	45	арпеђо	False
арсен	45	арсён,	False
арсенал	45	арсенал,	False
арсеник	45	арсенйк,	False
арсенов	45	арсенов,	False
арсенски	45	арсёнскй,	False
артати	1018	артати,	False
артерија	45	артёрија	False
артефакт	45	артефакт	False
артешки	45	артёmкй	False
артизам	45	артизам,	False
артист	46	артист(а),	False
артиста	46	артист(а),	False
артичока	46	артичока	False
артишока	46	артиmока	False
артритис	46	артритис	False
артроза	46	артроза	False
арх	46	арх	False
архаизам	46	архаизам,	False
архаик	46	архаик	False
архаичан	46	архаичан,	False
архаично	46	архаично	False
арханђел	46	арханђел	False
арханђео	46	арханђео,	False
архајски	46	архајскй,	False
археолог	46	археолог	False
архетип	46	архетйп	False
архив	46	архйв,	False
архива	46	архива	False
архивар	46	архивар,	False
архивист	46	архивист(а),	False
архиволт	46	архиволт	False
архивски	46	архйвскй,	False
архитект	47	архитект(а),	False
архитип	47	архитип	False
архитрав	47	архитрав,	False
аршин	47	аршин,	False
аршлама	47	аршлама	False
арњеви	45	арњеви,	False
ас	19	нс	True
асепса	47	асепса	False
асигнант	47	асигнант	False
асигнат	47	асигнат,	False
асимилат	47	асимилат,	False
асиндет	47	асиндет(он)	False
асинхрон	47	асинхрон,	False
асистент	48	асистент	False
аскеза	48	аскеза	False
аскета	48	аскета	False
аскетски	48	аскетски	False
асонанца	48	асонанца	False
аспектни	48	аспектни,	False
аспида	48	аспида	False
аспик	48	аспик	False
аспирант	48	аспирант	False
аспирата	48	аспирата	False
аспирин	48	аспирин,	False
аспра	48	аспра	False
асприца	48	асприца	False
астек	48	.Астек	False
астеник	48	астеник	False
астенија	48	астенија	False
астериск	48	астериск	False
астероид	48	астероид,	False
астечки	48	астечки,	False
астма	48	астма	False
асто	1416	асто	False
астраган	49	астраган(-)	False
астралан	49	астралан	False
астрално	49	астрално	False
астрахан	49	астрахан,	False
астролог	49	астролог	False
астроном	49	астроном	False
асура	49	асура	False
асфалт	49	асфалт	False
асфалтер	49	асфалтёр,	False
ат	49	ат	False
атавизам	49	атавизам,	False
атак	49	атак	False
атаман	49	атаман,	False
атар	49	атар	False
аташе	49	аташё,	False
атеизам	49	атеизам,	False
атеист	49	атеист(а),	False
атеиста	49	атеист(а),	False
атентат	49	атентат,	False
атером	49	атером,	False
атест	49	атест	False
атестат	49	атестат,	False
атеље	49	атељё,	False
ати	364	ати	False
атика	50	атика	False
атила	50	атила	False
атички	50	атички,	False
атлантик	50	Атлантик	False
атлас	50	атлас1	False
атласки	50	атласки,	False
атласни	50	атласни,	False
атлета	50	атлета	False
атлетика	50	атлетика	False
атлетски	50	атлетски	False
атол	50	атол,	False
атом	50	атом,	False
атомизам	50	атомизам,	False
атомизер	50	атомизер,	False
атомист	50	атомист(а),	False
атомиста	50	атомист(а),	False
атомски	50	атомски	False
атоналан	50	атоналан,	False
атоничан	50	атоничан,	False
атонија	50	атонија	False
атрибут	50	атрибут,	False
атријум	50	атријум	False
атрофија	50	атрофија	False
атски	22	атски	False
атур	26	мтур.	True
ау	51	ау	False
аугур	51	аугур,	False
аугурски	51	аугурски	False
аугуст	51	аугуст(-)	False
аудиолог	51	аудиолог	False
аудиција	51	аудиција	False
аукција	51	аукција	False
аула	51	аула	False
аура	51	аура	False
ауреол	51	ауреол,	False
ауспух	51	ауспух	False
аустрија	51	.Аустрија	False
аут	51	аут	False
аутизам	51	аутизам;	False
аутист	52	аутист(а),	False
аутиста	52	аутист(а),	False
ауто	52	ауто	False
аутобус	52	аутобус	False
аутоген	52	аутоген	False
аутогол	52	аутогол,	False
аутограм	52	аутограм	False
аутограф	52	аутограф	False
аутодром	52	аутодром	False
аутокар	52	аутокар	False
аутоклав	52	аутоклав	False
аутокош	52	аутокош	False
аутократ	52	аутократ(а),	False
аутомат	53	аутомат,	False
аутор	53	аутор	False
ауторка	54	ауторка	False
ауторски	54	ауторски,	False
аутотип	54	аутотип	False
аутохтон	54	аутохтон,	False
ауф	54	ауф	False
аух	54	аух	False
афазија	54	афазија	False
афатик	54	афатик	False
афатичан	54	афатичан,	False
афекција	54	афекција	False
афел	54	афел	False
афелни	54	афелни,	False
афера	54	афера	False
афераш	54	афераm,	False
аферашки	54	афераmки,	False
аферица	54	аферица	False
афикс	54	афикс	False
афинитет	54	афинитет,	False
афион	54	афион,	False
афиша	55	афиша	False
афоничан	55	афоничан,	False
афонија	55	афонија	False
афоризам	55	афоризам,	False
африка	55	Африка	False
африката	55	африката	False
афрички	55	афрички,	False
афродита	55	Афродита	False
афте	55	афте	False
ах	55	ах	False
аха	55	аха	False
ахат	55	ахат,	False
ахатни	55	ахатни	False
ахенија	55	ахёнија	False
ахилејев	55	Ахилејев,	False
ахилов	55	Ахилов	False
ахмедија	55	ахмедија	False
ахнути	55	ахнути,	False
ахтати	55	ахтати,	False
ац	19	ац,	False
ацетат	55	ацетат,	False
ацетилен	55	ацетилён,	False
ацетисал	55	ацетисал,	False
ацетон	55	ацетон,	False
ацидитет	55	ацидитёт,	False
ачити	55	ачити	False
ашов	55	ашов,	False
ашовити	55	аmовити,	False
ашовче	55	аmовче	False
ашовчић	55	аmовчић	False
аштина	72	аmтина	False
ађутант	21	ађутант	False
ај	22	ај	False
аја	22	аја	False
ајао	22	ајао(ј)	False
ајаох	22	ајаох	False
ајатолах	22	ајатолах,	False
ајвар	22	ајвар,	False
ајгир	22	ајгир,	False
ајгирски	22	ајгирски,	False
ајгируша	22	ајгируmа	False
ајдаред	22	ајдаред	False
ајкула	22	ајкула	False
ајлајнер	22	ајлајнер	False
ајнц	22	ајнц	False
ајој	22	ајој	False
ајс	22	ајс	False
ајскати	22	ајскати,	False
ајснути	22	ајснути,	False
ајурведа	22	ајурведа	False
аљкав	30	аљкав,	False
аљкавац	30	аљкавац,	False
аљкавица	30	аљкавица	False
аљкавко	30	аљкавко	False
аљкаво	30	аљкаво	False
аљкавост	30	аљкавост,	False
аљкавуша	30	аљкавуша	False
ба	56	ба	False
баба	56	баба1	False
бабак	56	бабак,	False
бабарога	56	бабарога	False
бабаст	56	бабаст,	False
бабац	56	бабац,	False
бабетина	56	бабетина	False
бабин	56	бабин,	False
бабине	56	бабине	False
бабица	56	бабица1	False
бабичин	56	бабичин,	False
бабичица	56	бабичица	False
бабички	56	бабичкй,	False
бабињара	56	бабињара	False
бабињи	56	бабињй,	False
бабо	56	бабо,	False
бабовина	56	бабовина	False
бабовић	56	бабовић	False
баболик	56	баболик,	False
бабун	56	бабун,	False
бабунски	56	бабунскй,	False
бабура	56	бабура	False
бабураст	56	бабураст,	False
бабурача	56	бабурача	False
бабурда	56	бабурда	False
бабурина	56	бабурина	False
бабурица	56	бабурица	False
бабушка	56	бабуmка1	False
бабушкар	56	бабуmкар	False
бабљи	56	бабљй,	False
бавити	56	бавити	False
баврљати	56	баврљати,	False
бага	56	бага	False
багав	56	багав(-)	False
багаж	56	багаж,	False
багателу	57	багателу.	False
багер	57	багер	False
багераш	57	багераш,	False
багерист	57	багерист(а),	False
багерски	57	багёрски,	False
багет	57	багет	False
багра	57	багра	False
багрем	57	багрем	False
багремак	57	багремак,	False
багремар	57	багремар,	False
багремик	57	(багремйк,	False
багремов	57	багремов,	False
багремље	57	багрёмље	False
багрен	57	багрен	False
багрено	57	багрено	False
багренов	57	багренов,	False
багрењак	57	багрењак,	False
багрењар	57	багрењар,	False
багрење	57	багрење.	False
багљив	57	багљив	False
бадава	57	бадава	False
бадати	57	бадати,	False
бадањ	57	бадањ,	False
бадем	57	бадем	False
бадемаст	57	бадемаст,	False
бадемов	57	бадемов,	False
бадемски	57	бадемски,	False
бадина	115	јадина	True
бадрљак	57	бадрљак,	False
бадрљица	57	бадрљица	False
бадљав	57	бадљав,	False
бадље	57	бадље	False
бадњак	57	бадњак	False
бадњара	57	бадњара	False
бадњачар	57	бадњачар	False
бадњачић	57	бадњачић	False
бадњи	57	бадњи,	False
бадњић	57	бадњић,	False
баждар	57	баждар,	False
база	58	база	False
базало	58	базало	False
базалт	58	базалт	False
базалтни	58	базалтнй	False
базар	58	базар,	False
базарски	58	базарскй,	False
базати	58	базати,	False
базг	70	разг.	True
баздети	58	баздети	False
базен	58	базён,	False
базену	58	базену,	False
базенчић	58	базенчић	False
бази	58	бази	False
базилика	58	базилика	False
базирати	58	базирати,	False
базис	58	базис	False
базисни	58	базиснй,	False
базичан	58	базичан,	False
базмни	58	базмнй,	False
базни	58	базнй,	False
базука	58	базука	False
бака	59	бака	False
бакалар	59	бакалар,	False
бакалин	59	бакалин	False
бакалка	59	бакалка	False
бакалски	59	бакалскй,	False
бакалук	59	бакалук	False
бакалчић	59	бакалчић	False
баканџа	59	баканџа	False
бакар	59	бакар,	False
бакара	59	бакара	False
бакараст	59	бакараст,	False
бакарни	59	бакарнй,	False
бакаруша	59	бакаруmа	False
бакелит	59	бакелйт,	False
баки	59	баки	False
бакица	59	бакица	False
баклава	59	баклава	False
бако	87	како	True
бакрач	59	бакрач,	False
бакрачар	59	бакрачар,	False
бакраче	59	бакраче,	False
бакрен	59	бакрен	False
бакрењак	59	бакрењак,	False
бакровит	59	(бакровит,	False
бакропис	59	бакропйс	False
баксуз	59	баксуз	False
баксузан	60	баксузан,	False
баксуски	60	баксуски,	False
бактати	60	бактати,	False
бакута	60	бакута	False
бакшиш	60	бакmиm	False
бакља	59	бакља	False
бакљада	59	бакљада	False
бакљу	59	бакљу.	False
бакћем	60	бакћём	False
бал	60	бал	False
бала	60	бала1	False
балав	60	балав,	False
балавац	60	балавац,	False
балавим	60	балавИм	False
балавити	60	балавити,	False
балавица	60	балавица	False
балавост	60	балавост,	False
балавче	60	балавче,	False
балада	60	балада	False
баладни	60	баладни	False
баладски	60	баладски,	False
балан	61	балан,	False
баланс	60	баланс	False
балански	61	балански,	False
баласт	60	баласт	False
баластни	60	баластни,	False
баластом	60	баластом,	False
балван	60	балван	False
балдахин	60	балдахин,	False
балега	60	балега	False
балегав	60	балегав,	False
балегар	60	балегар,	False
балегати	60	балегати,	False
балерина	60	балерина	False
балет	60	балёт,	False
балета	60	балета,	False
балетан	60	балетан,	False
балетни	61	(балётнй	False
балетске	61	балетске	False
балетски	61	балетски	False
балзам	61	балзам	False
балинче	61	балинче,	False
балист	61	балист(а),	False
балиста	61	балист(а),	False
балити	61	балити,	False
балија	61	балија	False
балијски	61	балијски,	False
балкан	61	Балкан,	False
балканац	61	Балканац,	False
балканка	61	Балканка	False
бало	61	бало2,	False
балонац	61	балонац,	False
балонер	61	балонер	False
балончић	61	балончић	False
балота	61	балота	False
балотар	61	балотар,	False
балотати	61	балотати	False
балоташ	61	балотаm,	False
балоња	61	балоња	False
балсам	61	балсам(-)	False
балски	61	балски,	False
балти	61	Балти	False
балтик	61	Балтик	False
балтички	61	балтички,	False
балу	62	БАЛУ	False
бам	62	бам	False
бамбус	62	бамбус	False
бамбусов	62	бамбусов,	False
бамети	87	памети	True
бамња	62	бамња	False
бан	62	бан	False
банак	62	банак,	False
банака	62	банака)	False
баналан	62	баналан	False
банално	62	банално	False
банана	62	банана	False
бананин	62	бананин,	False
банат	59	занат.	True
банатски	62	банатски,	False
бангав	62	бангав,	False
банда	62	банда	False
бандажа	62	бандажа	False
бандажни	62	бандажни,	False
бандера	62	бандера	False
бандист	62	бандист(а),	False
бандиста	62	бандист(а),	False
бандит	62	бандит,	False
бандица	62	бандица	False
баним	62	банИм	False
банити	62	банити	False
баница	62	баница	False
банија	62	Банија	False
банијац	62	Банијац,	False
банијка	62	Банијка	False
банијски	62	банијски,	False
банк	62	банк	False
банка	62	банка	False
банкар	62	банкар,	False
банкарац	62	банкарац,	False
банкет	63	банкет2,	False
банки	62	банки,	False
банкина	63	банкина	False
банкнота	63	банкнота	False
банковни	63	банковни,	False
банкомат	63	банкомат,	False
банкрот	63	банкрот	False
банку	62	банку.	False
бановати	63	бановати,	False
бановина	63	бановина	False
бановица	63	бановица	False
бански	63	бански,	False
банство	63	банство	False
бантам	63	бантам	False
банту	63	Банту	False
банути	63	банути,	False
банчин	63	банчин',	False
банчити	63	банчити,	False
банјек	80	ранјек.	True
баобаб	63	баобаб	False
бап	63	бап	False
бапнути	63	бапнути,	False
бапски	63	бапски,	False
баптизам	63	баптизам,	False
баптист	63	баптист(а),	False
баптиста	63	баптист(а),	False
бар	63	бар2	False
бара	63	бара	False
