word,tile_length,status,sources
алносш,6,accepted,"cik-pogodi"
ало,3,accepted,"pdf"
аловит,6,accepted,"cik-pogodi|pdf"
аловито,7,accepted,"pdf"
алогичан,8,accepted,"pdf"
алогично,8,accepted,"pdf"
алоја,5,accepted,"pdf"
алохтон,7,accepted,"pdf"
алпинац,7,accepted,"pdf"
алпинист,8,accepted,"pdf"
алпинка,7,accepted,"pdf"
алпински,8,accepted,"pdf"
алпски,6,accepted,"cik-pogodi|pdf"
алт,3,accepted,"pdf"
алтист,6,accepted,"cik-pogodi|pdf"
алтиста,7,accepted,"pdf"
алтовски,8,accepted,"pdf"
алтруист,8,accepted,"pdf"
алувиј,6,accepted,"pdf"
алувијум,8,accepted,"pdf"
алузиван,8,accepted,"pdf"
алузија,7,accepted,"pdf"
алфа,4,accepted,"cik-pogodi|pdf"
алфабет,7,accepted,"pdf"
алфреско,8,accepted,"pdf"
алхемија,8,accepted,"pdf"
алчица,6,accepted,"cik-pogodi|pdf"
аљкав,5,accepted,"cik-pogodi|pdf"
аљкавац,7,accepted,"pdf"
аљкавица,8,accepted,"pdf"
аљкавко,7,accepted,"pdf"
аљкаво,6,accepted,"cik-pogodi|pdf"
аљкавост,8,accepted,"pdf"
аљкавуша,8,accepted,"pdf"
ам,2,accepted,"pdf"
ама,3,accepted,"pdf"
амазонка,8,accepted,"pdf"
амајлија,8,accepted,"pdf"
амал,4,accepted,"cik-pogodi|pdf"
амалгам,7,accepted,"pdf"
амалин,6,accepted,"cik-pogodi|pdf"
амам,4,accepted,"cik-pogodi|pdf"
амамски,7,accepted,"pdf"
аман,4,accepted,"cik-pogodi|pdf"
амандман,8,accepted,"pdf"
аманет,6,accepted,"cik-pogodi|pdf"
амарела,7,accepted,"pdf"
аматер,6,accepted,"cik-pogodi|pdf"
аматерка,8,accepted,"pdf"
амбар,5,accepted,"cik-pogodi|pdf"
амбарић,7,accepted,"pdf"
амбарски,8,accepted,"pdf"
амбарчић,8,accepted,"pdf"
амбасада,8,accepted,"pdf"
амби,4,accepted,"cik-pogodi"
амбијент,8,accepted,"pdf"
амбис,5,accepted,"cik-pogodi|pdf"
амбиција,8,accepted,"pdf"
амблем,6,accepted,"pdf"
амбра,5,accepted,"cik-pogodi|pdf"
амвон,5,accepted,"cik-pogodi|pdf"
амеба,5,accepted,"cik-pogodi|pdf"
амебни,6,accepted,"pdf"
амен,4,accepted,"pdf"
аменција,8,accepted,"pdf"
амер,4,accepted,"pdf"
америка,7,accepted,"pdf"
американ,8,accepted,"pdf"
амерички,8,accepted,"pdf"
аметист,7,accepted,"pdf"
амид,4,accepted,"cik-pogodi|pdf"
амилаза,7,accepted,"pdf"
амин,4,accepted,"cik-pogodi|pdf"
аминати,7,accepted,"pdf"
аминаш,6,accepted,"pdf"
аминашки,8,accepted,"pdf"
амнезија,8,accepted,"pdf"
амнион,6,accepted,"cik-pogodi|pdf"
амо,3,accepted,"pdf"
амов,4,accepted,"pdf"
амонијак,8,accepted,"pdf"
амор,4,accepted,"cik-pogodi|pdf"
аморал,6,accepted,"cik-pogodi|pdf"
аморално,8,accepted,"pdf"
аморфан,7,accepted,"pdf"
аморфно,7,accepted,"pdf"
ампер,5,accepted,"pdf"
ампеража,8,accepted,"pdf"
ампир,5,accepted,"cik-pogodi|pdf"
ампирски,8,accepted,"pdf"
ампула,6,accepted,"cik-pogodi|pdf"
амулет,6,accepted,"cik-pogodi|pdf"
амфибија,8,accepted,"pdf"
амфибрах,8,accepted,"pdf"
амфора,6,accepted,"cik-pogodi|pdf"
ан,2,accepted,"pdf"
ана,3,accepted,"pdf"
анаграм,7,accepted,"pdf"
анаконда,8,accepted,"pdf"
анали,5,accepted,"cik-pogodi|pdf"
анализа,7,accepted,"pdf"
аналист,7,accepted,"pdf"
аналиста,8,accepted,"pdf"
анални,6,accepted,"pdf"
анално,6,accepted,"cik-pogodi|pdf"
аналоган,8,accepted,"pdf"
аналогно,8,accepted,"pdf"
аналошки,8,accepted,"pdf"
анамнсза,8,accepted,"pdf"
ананас,6,accepted,"cik-pogodi|pdf"
ананасов,8,accepted,"pdf"
анархија,8,accepted,"pdf"
анархист,8,accepted,"pdf"
анархо,6,accepted,"cik-pogodi"
анасон,6,accepted,"cik-pogodi|pdf"
анатема,7,accepted,"pdf"
анатом,6,accepted,"cik-pogodi|pdf"
анафора,7,accepted,"pdf"
ангажман,8,accepted,"pdf"
ангелика,8,accepted,"pdf"
ангин,5,accepted,"pdf"
ангина,6,accepted,"cik-pogodi|pdf"
англизам,8,accepted,"pdf"
англист,7,accepted,"pdf"
англиста,8,accepted,"pdf"
англоман,8,accepted,"pdf"
англофил,8,accepted,"pdf"
англофоб,8,accepted,"pdf"
ангора,6,accepted,"cik-pogodi|pdf"
ангорка,7,accepted,"pdf"
ангорски,8,accepted,"pdf"
ангро,5,accepted,"cik-pogodi|pdf"
ангстрем,8,accepted,"pdf"
анданте,7,accepted,"pdf"
андрагог,8,accepted,"pdf"
андрак,6,accepted,"cik-pogodi|pdf"
андрогин,8,accepted,"pdf"
андролог,8,accepted,"pdf"
анђало,6,accepted,"cik-pogodi"
анђелак,7,accepted,"pdf"
анђелски,8,accepted,"pdf"
анђелчић,8,accepted,"pdf"
анђео,5,accepted,"cik-pogodi|pdf"
анђеоски,8,accepted,"pdf"
анђеоче,7,accepted,"pdf"
анегдота,8,accepted,"pdf"
анекс,5,accepted,"cik-pogodi|pdf"
анексија,8,accepted,"pdf"
анемија,7,accepted,"pdf"
анемичан,8,accepted,"pdf"
анемичар,8,accepted,"pdf"
анемично,8,accepted,"pdf"
анилин,6,accepted,"cik-pogodi|pdf"
анималан,8,accepted,"pdf"
анимално,8,accepted,"pdf"
аниматни,8,accepted,"pdf"
анимато,7,accepted,"pdf"
аниматор,8,accepted,"pdf"
анимизам,8,accepted,"pdf"
анимир,6,accepted,"cik-pogodi"
анимист,7,accepted,"pdf"
анимиста,8,accepted,"pdf"
анимозан,8,accepted,"pdf"
анис,4,accepted,"cik-pogodi|pdf"
анјон,5,accepted,"cik-pogodi|pdf"
анкарски,8,accepted,"pdf"
анкер,5,accepted,"cik-pogodi|pdf"
анкета,6,accepted,"cik-pogodi|pdf"
анкетар,7,accepted,"pdf"
анкетни,7,accepted,"pdf"
анласер,7,accepted,"pdf"
анода,5,accepted,"cik-pogodi|pdf"
анодни,6,accepted,"cik-pogodi|pdf"
анониман,8,accepted,"pdf"
анонимац,8,accepted,"pdf"
анонимно,8,accepted,"pdf"
анонимус,8,accepted,"pdf"
анонса,6,accepted,"cik-pogodi|pdf"
ансамбл,7,accepted,"pdf"
антанта,7,accepted,"pdf"
анте,4,accepted,"cik-pogodi|pdf"
антена,6,accepted,"cik-pogodi"
антенски,8,accepted,"pdf"
анти,4,accepted,"cik-pogodi|pdf"
антика,6,accepted,"cik-pogodi|pdf"
антиква,7,accepted,"pdf"
антиквар,8,accepted,"pdf"
антикни,7,accepted,"pdf"
антилоп,7,accepted,"pdf"
антилопа,8,accepted,"pdf"
антимбн,7,accepted,"pdf"
антипапа,8,accepted,"pdf"
антипод,7,accepted,"pdf"
антисвет,8,accepted,"pdf"
антитеза,8,accepted,"pdf"
антитело,8,accepted,"pdf"
антифриз,8,accepted,"pdf"
антички,7,accepted,"pdf"
антоним,7,accepted,"pdf"
антракс,7,accepted,"pdf"
антрацнт,8,accepted,"pdf"
антре,5,accepted,"cik-pogodi|pdf"
ануитет,7,accepted,"pdf"
анус,4,accepted,"cik-pogodi|pdf"
анфас,5,accepted,"cik-pogodi|pdf"
ањавим,6,accepted,"cik-pogodi"
ао,2,accepted,"pdf"
аова,4,accepted,"cik-pogodi"
аовима,6,accepted,"cik-pogodi"
аовс,4,accepted,"cik-pogodi"
аољава,6,accepted,"cik-pogodi"
аомоћи,6,accepted,"cik-pogodi"
аомоћу,6,accepted,"cik-pogodi"
аон,3,accepted,"pdf"
аоново,6,accepted,"cik-pogodi"
аорист,6,accepted,"cik-pogodi|pdf"
аорта,5,accepted,"cik-pogodi|pdf"
аортнн,6,accepted,"cik-pogodi|pdf"
аох,3,accepted,"pdf"
ап,2,accepted,"pdf"
апанажа,7,accepted,"pdf"
апарат,6,accepted,"cik-pogodi|pdf"
апартан,7,accepted,"pdf"
апартман,8,accepted,"pdf"
апартно,7,accepted,"pdf"
апатија,7,accepted,"pdf"
апатичан,8,accepted,"pdf"
апатично,8,accepted,"pdf"
апаш,4,accepted,"pdf"
апашки,6,accepted,"pdf"
апел,4,accepted,"cik-pogodi|pdf"
апелатив,8,accepted,"pdf"
апендикс,8,accepted,"pdf"
аперитив,8,accepted,"pdf"
аперкат,7,accepted,"pdf"
апетит,6,accepted,"cik-pogodi|pdf"
апетитан,8,accepted,"pdf"
апешант,7,accepted,"pdf"
апешат,6,accepted,"pdf"
аплазија,8,accepted,"pdf"
аплауз,6,accepted,"cik-pogodi|pdf"
апоен,5,accepted,"cik-pogodi|pdf"
апозитив,8,accepted,"pdf"
апокопа,7,accepted,"pdf"
апокриф,7,accepted,"pdf"
апологет,8,accepted,"pdf"
аполон,6,accepted,"cik-pogodi|pdf"
апостат,7,accepted,"pdf"
апостата,8,accepted,"pdf"
апостол,7,accepted,"pdf"
апостроф,8,accepted,"pdf"
апотека,7,accepted,"pdf"
апотекар,8,accepted,"pdf"
апотеоза,8,accepted,"pdf"
апретер,7,accepted,"pdf"
апретура,8,accepted,"pdf"
април,5,accepted,"cik-pogodi|pdf"
априлили,8,accepted,"pdf"
априлски,8,accepted,"pdf"
априоран,8,accepted,"pdf"
априори,7,accepted,"pdf"
априорно,8,accepted,"pdf"
апропо,6,accepted,"cik-pogodi|pdf"
апсидни,7,accepted,"pdf"
апсолут,7,accepted,"pdf"
апсорбат,8,accepted,"pdf"
апсурд,6,accepted,"cik-pogodi|pdf"
апсурдан,8,accepted,"pdf"
апсурдно,8,accepted,"pdf"
апсцес,6,accepted,"cik-pogodi|pdf"
апсциса,7,accepted,"pdf"
апсцисни,8,accepted,"pdf"
апта,4,accepted,"cik-pogodi|pdf"
аптов,5,accepted,"cik-pogodi|pdf"
аптовача,8,accepted,"pdf"
аптовина,8,accepted,"pdf"
апћиха,6,accepted,"cik-pogodi|pdf"
ар,2,accepted,"pdf"
ара,3,accepted,"pdf"
арабизам,8,accepted,"pdf"
арабист,7,accepted,"pdf"
арабиста,8,accepted,"pdf"
арабица,7,accepted,"pdf"
аравна,6,accepted,"cik-pogodi"
аравне,6,accepted,"cik-pogodi"
аравни,6,accepted,"cik-pogodi"
аравца,6,accepted,"cik-pogodi"
аранђел,7,accepted,"pdf"
аранжер,7,accepted,"pdf"
аранжман,8,accepted,"pdf"
арапин,6,accepted,"cik-pogodi|pdf"
арапски,7,accepted,"pdf"
арапче,6,accepted,"cik-pogodi|pdf"
аратос,6,accepted,"cik-pogodi|pdf"
арах,4,accepted,"cik-pogodi"
арбанас,7,accepted,"pdf"
арбитар,7,accepted,"pdf"
арбун,5,accepted,"cik-pogodi|pdf"
аргентит,8,accepted,"pdf"
арго,4,accepted,"cik-pogodi|pdf"
аргонаут,8,accepted,"pdf"
ареа,4,accepted,"cik-pogodi|pdf"
ареал,5,accepted,"cik-pogodi|pdf"
аревоз,6,accepted,"pdf"
арена,5,accepted,"cik-pogodi|pdf"
аренда,6,accepted,"pdf"
арендар,7,accepted,"pdf"
аренос,6,accepted,"cik-pogodi"
аренски,7,accepted,"pdf"
арза,4,accepted,"cik-pogodi|pdf"
арзе,4,accepted,"cik-pogodi"
аривизам,8,accepted,"pdf"
аривист,7,accepted,"pdf"
аривиста,8,accepted,"pdf"
арија,5,accepted,"cik-pogodi|pdf"
аријевац,8,accepted,"pdf"
аријица,7,accepted,"pdf"
аритмија,8,accepted,"pdf"
ариш,4,accepted,"cik-pogodi|pdf"
аришев,6,accepted,"pdf"
арка,4,accepted,"cik-pogodi|pdf"
аркада,6,accepted,"cik-pogodi|pdf"
аркебуза,8,accepted,"pdf"
арктички,8,accepted,"pdf"
арлекин,7,accepted,"pdf"
армада,6,accepted,"cik-pogodi|pdf"
арматура,8,accepted,"pdf"
армија,6,accepted,"pdf"
армијски,8,accepted,"pdf"
армирати,8,accepted,"pdf"
армирач,7,accepted,"pdf"
арнаутин,8,accepted,"pdf"
арнаутка,8,accepted,"pdf"
арњеви,6,accepted,"cik-pogodi|pdf"
ароаис,6,accepted,"cik-pogodi"
арома,5,accepted,"cik-pogodi|pdf"
аромски,7,accepted,"pdf"
аромун,6,accepted,"cik-pogodi|pdf"
аромунка,8,accepted,"pdf"
арпаџик,7,accepted,"pdf"
арпеђо,6,accepted,"cik-pogodi|pdf"
арсен,5,accepted,"pdf"
арсенал,7,accepted,"pdf"
арсеник,7,accepted,"pdf"
арсенов,7,accepted,"pdf"
арсенски,8,accepted,"pdf"
арсима,6,accepted,"cik-pogodi"
артати,6,accepted,"pdf"
артерија,8,accepted,"pdf"
артефакт,8,accepted,"pdf"
артешки,7,accepted,"pdf"
артизам,7,accepted,"pdf"
артист,6,accepted,"cik-pogodi|pdf"
артиста,7,accepted,"pdf"
артичока,8,accepted,"pdf"
артишока,8,accepted,"pdf"
артритис,8,accepted,"pdf"
артроза,7,accepted,"pdf"
арх,3,accepted,"pdf"
архаизам,8,accepted,"pdf"
архаик,6,accepted,"cik-pogodi|pdf"
архаичан,8,accepted,"pdf"
архаично,8,accepted,"pdf"
архајски,8,accepted,"pdf"
арханђел,8,accepted,"pdf"
арханђео,8,accepted,"pdf"
археолог,8,accepted,"pdf"
архетип,7,accepted,"pdf"
архи,4,accepted,"cik-pogodi"
архив,5,accepted,"pdf"
архива,6,accepted,"cik-pogodi|pdf"
архивар,7,accepted,"pdf"
архиви,6,accepted,"cik-pogodi"
архивист,8,accepted,"pdf"
архиволт,8,accepted,"pdf"
архивски,8,accepted,"pdf"
архитект,8,accepted,"pdf"
архитип,7,accepted,"pdf"
архитрав,8,accepted,"pdf"
аршин,5,accepted,"cik-pogodi|pdf"
аршлама,7,accepted,"pdf"
ас,2,accepted,"pdf"
асепса,6,accepted,"cik-pogodi|pdf"
асигнант,8,accepted,"pdf"
асигнат,7,accepted,"pdf"
асимилат,8,accepted,"pdf"
асиндет,7,accepted,"pdf"
асинхрон,8,accepted,"pdf"
асистент,8,accepted,"pdf"
аска,4,accepted,"cik-pogodi"
аскеза,6,accepted,"cik-pogodi|pdf"
аскета,6,accepted,"cik-pogodi|pdf"
аскетски,8,accepted,"pdf"
аску,4,accepted,"cik-pogodi"
асовке,6,accepted,"cik-pogodi"
асонанца,8,accepted,"pdf"
аспектни,8,accepted,"pdf"
аспида,6,accepted,"cik-pogodi|pdf"
аспик,5,accepted,"cik-pogodi|pdf"
аспирант,8,accepted,"pdf"
аспирата,8,accepted,"pdf"
аспирин,7,accepted,"pdf"
аспра,5,accepted,"cik-pogodi|pdf"
асприца,7,accepted,"pdf"
астек,5,accepted,"pdf"
астенија,8,accepted,"pdf"
астеник,7,accepted,"pdf"
астериск,8,accepted,"pdf"
астероид,8,accepted,"pdf"
астечки,7,accepted,"pdf"
астма,5,accepted,"cik-pogodi|pdf"
асто,4,accepted,"pdf"
астраган,8,accepted,"pdf"
астралан,8,accepted,"pdf"
астрално,8,accepted,"pdf"
астрахан,8,accepted,"pdf"
астролог,8,accepted,"pdf"
астроном,8,accepted,"pdf"
асура,5,accepted,"cik-pogodi|pdf"
асфалт,6,accepted,"cik-pogodi|pdf"
асфалтер,8,accepted,"pdf"
ат,2,accepted,"pdf"
